Interval=	0.005 s
ExcelDateTime=	4.2844669800012722e+004	19/04/2017 16:04:30.721099
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Membrane Potential	Output Pulse
Range=	1000.0 mV	10.000 V
UnitName=	mV	*
TopValue=	99.5	*
BottomValue=	-99.4	*
622.355	-14.5	0.000
622.36	-14.4	-0.000
622.365	-14.6	-0.000
622.37	-14.8	-0.001
622.375	-14.6	-0.001
622.38	-14.5	-0.001
622.385	-14.7	-0.000
622.39	-14.8	-0.001
622.395	-14.6	-0.000
622.4	-14.5	-0.000
622.405	-14.7	0.000
622.41	-14.8	0.000
622.415	-14.7	0.000
622.42	-14.6	0.000
622.425	-14.8	-0.001
622.43	-15.0	-0.001
622.435	-14.8	0.000
622.44	-14.7	-0.001
622.445	-14.8	-0.001
622.45	-15.0	-0.000
622.455	-14.8	-0.000
622.46	-14.7	-0.001
622.465	-14.9	-0.001
622.47	-15.0	-0.000
622.475	-14.8	-0.001
622.48	-14.7	-0.000
622.485	-14.9	-0.000
622.49	-15.0	0.000
622.495	-14.8	-0.000
622.5	-14.7	-0.000
622.505	-14.9	-0.001
622.51	-15.0	-0.000
622.515	-14.8	-0.000
622.52	-14.7	-0.001
622.525	-14.9	-0.000
622.53	-15.0	0.000
622.535	-14.8	-0.000
622.54	-14.7	-0.000
622.545	-14.8	-0.000
622.55	-15.0	0.000
622.555	-14.8	-0.000
622.56	-14.7	-0.000
622.565	-14.8	-0.000
622.57	-14.9	0.000
622.575	-14.7	-0.000
622.58	-14.5	0.000
622.585	-14.7	0.000
622.59	-14.8	-0.001
622.595	-14.6	-0.000
622.6	-14.5	-0.001
622.605	-14.7	-0.000
622.61	-14.8	-0.001
622.615	-14.6	0.000
622.62	-14.5	-0.000
622.625	-14.7	-0.001
622.63	-14.7	-0.001
622.635	-14.6	-0.000
622.64	-14.5	0.000
622.645	-14.7	-0.000
622.65	-14.8	-0.000
622.655	-14.6	-0.000
622.66	-14.5	-0.000
622.665	-14.6	-0.000
622.67	-14.7	-0.000
622.675	-14.6	-0.000
622.68	-14.5	-0.000
622.685	-14.7	-0.001
622.69	-14.7	-0.001
622.695	-14.5	-0.000
622.7	-14.4	0.000
622.705	-14.6	-0.001
622.71	-14.7	-0.001
622.715	-14.5	0.000
622.72	-14.4	0.000
622.725	-14.6	-0.000
622.73	-14.7	-0.000
622.735	-14.5	0.000
622.74	-14.4	-0.000
622.745	-14.5	-0.000
622.75	-14.6	-0.000
622.755	-14.4	-0.000
622.76	-14.3	0.000
622.765	-14.5	0.000
622.77	-14.6	-0.000
622.775	-14.4	0.000
622.78	-14.3	-0.001
622.785	-14.5	-0.001
622.79	-14.5	-0.000
622.795	-14.3	0.000
622.8	-14.2	-0.000
622.805	-14.4	-0.001
622.81	-14.5	-0.000
622.815	-14.4	-0.000
622.82	-14.3	-0.001
622.825	-14.5	-0.000
622.83	-14.6	-0.000
622.835	-14.4	0.000
622.84	-14.3	-0.001
622.845	-14.5	-0.000
622.85	-14.6	-0.001
622.855	-14.4	-0.000
622.86	-14.3	0.000
622.865	-14.5	0.000
622.87	-14.6	0.000
622.875	-14.4	-0.000
622.88	-14.3	-0.001
622.885	-14.5	-0.000
622.89	-14.5	-0.000
622.895	-14.4	0.000
622.9	-14.3	0.000
622.905	-14.5	0.000
622.91	-14.6	-0.001
622.915	-14.4	-0.000
622.92	-14.3	-0.000
622.925	-14.5	0.000
622.93	-14.6	-0.000
622.935	-14.4	-0.001
622.94	-14.3	-0.000
622.945	-14.5	0.000
622.95	-14.6	-0.001
622.955	-14.4	-0.000
622.96	-14.3	0.000
622.965	-14.5	-0.001
622.97	-14.6	-0.000
622.975	-14.4	-0.000
622.98	-14.4	-0.001
622.985	-14.5	-0.001
622.99	-14.6	-0.001
622.995	-14.4	-0.001
623	-14.4	0.000
623.005	-14.6	-0.001
623.01	-14.7	0.000
623.015	-14.5	-0.001
623.02	-14.4	-0.000
623.025	-14.6	0.000
623.03	-14.7	-0.000
623.035	-14.5	-0.000
623.04	-14.5	-0.000
623.045	-14.7	0.000
623.05	-14.7	-0.000
623.055	-14.5	-0.000
623.06	-14.5	-0.000
623.065	-14.6	-0.001
623.07	-14.7	0.000
623.075	-14.5	-0.000
623.08	-14.5	-0.001
623.085	-14.7	0.000
623.09	-14.7	-0.000
623.095	-14.5	-0.000
623.1	-14.5	-0.001
623.105	-14.7	0.000
623.11	-14.8	-0.000
623.115	-14.6	-0.001
623.12	-14.5	0.000
623.125	-14.7	-0.001
623.13	-14.7	-0.001
623.135	-14.6	0.000
623.14	-14.6	-0.000
623.145	-14.7	-0.001
623.15	-14.8	-0.000
623.155	-14.6	0.000
623.16	-14.5	-0.001
623.165	-14.7	-0.001
623.17	-14.8	-0.000
623.175	-14.6	-0.000
623.18	-14.6	-0.001
623.185	-14.8	-0.001
